,,,,,,,,,,,,,,,categoryID1::SubCategoryID1___ categoryID2::SubCategoryID2,,,,,,,,,,,,,,,,,,,,,,,
Item Code,Product Name,Product Status,Product In Stock Status,Variants for item code,SKU ID,Pack Size,Units,Price,Before Off Price,Variants Stock,Variants Status,Variants In Stock Status,Category Id,category,Sub Category Id,Sub Category name,Child Category Id,Child Category name,HSN Code,IGST,CGST,SGST,Image1,Image2,Image3,Image4,Image5,Image6,Description for Item code,Description header name,Description Details,Description Status,Discription Id,Variants Updated By,Variants Id,Product Updated by,Product Id,Add date
A0069,DRIED GOZI BERRIES,1,1,A0069,DRIED_GOZI_BERRIES,150,g,120,0,200,1,1,2,Dry Fruits & Nuts,2::6,Dry Fruits & Nuts::Berries,2:::6:::0,Dry Fruits & Nuts:::Berries:::,90200000,12,6,6,17029830202.jpg,17029830201.jpg,17029830203.jpg,17029830206.jpg,17029830204.jpg,,,,,,,,134,Admin,70,19-12-2023 05:50
A0068,Red cranberry,1,1,A0068,Red_cranberry_1,200,g,210,0,100,1,1,2,Dry Fruits & Nuts,2::6,Dry Fruits & Nuts::Berries,2:::6:::0,Dry Fruits & Nuts:::Berries:::,90200000,12,6,6,17029828871.jpg,17029828872.jpg,17029828874.jpg,17029828875.jpg,17029828876.jpg,17029828873.jpg,,,,,,,132,Admin,69,19-12-2023 05:48
,,,,A0068,Red_cranberry_2,500,g,350,0,100,1,1,,,,,,,,,,,,,,,,,,,,,,,133,,,
A0067,BLUE BERRIES,1,1,A0067,BLUE_BERRIES_1,150,g,120,0,120,1,1,2,Dry Fruits & Nuts,2::6,Dry Fruits & Nuts::Berries,2:::6:::0,Dry Fruits & Nuts:::Berries:::,90200000,12,6,6,17029827342.jpg,17029827341.jpg,17029827343.jpg,17029827346.jpg,17029827345.jpg,17029827344.jpg,,,,,,,131,Admin,68,19-12-2023 05:45
A0066,BLACK RAISINS,1,1,A0066,BLACK_RAISINS_1,200,g,210,0,100,1,1,2,Dry Fruits & Nuts,2::6,Dry Fruits & Nuts::Berries,2:::6:::0,Dry Fruits & Nuts:::Berries:::,90200000,12,6,6,17029825731.jpg,17029825732.jpg,17029825733.jpg,17029825735.jpg,17029825736.jpg,17029825734.jpg,,,,,,,129,Admin,67,19-12-2023 05:42
,,,,A0066,BLACK_RAISINS_2,500,g,520,0,200,1,1,,,,,,,,,,,,,,,,,,,,,,,130,,,
A0065,BLACK CRANEBERRIES,1,1,A0065,BLACK_CRANEBERRIES_1,200,g,100,0,100,1,1,2,Dry Fruits & Nuts,2::6,Dry Fruits & Nuts::Berries,2:::6:::0,Dry Fruits & Nuts:::Berries:::,90200000,12,6,6,17029824301.jpg,17029824302.jpg,17029824304.jpg,17029824305.jpg,17029824306.jpg,17029824303.jpg,,,,,,,127,Admin,66,19-12-2023 05:40
,,,,A0065,BLACK_CRANEBERRIES_2,500,g,200,0,100,1,1,,,,,,,,,,,,,,,,,,,,,,,128,,,
A0064,APRICOTS,1,1,A0064,APRICOTS_1,200,g,210,0,198,1,1,2,Dry Fruits & Nuts,2::6,Dry Fruits & Nuts::Berries,2:::6:::0,Dry Fruits & Nuts:::Berries:::,90200000,12,6,6,17029822301.jpg,17029822302.jpg,17029822304.jpg,17029822305.jpg,17029822306.jpg,17029822303.jpg,,,,,,,125,Admin,65,19-12-2023 05:37
,,,,A0064,APRICOTS_2,500,g,420,0,99,1,1,,,,,,,,,,,,,,,,,,,,,,,126,,,
A0063,WALNUT KERNELS,1,1,A0063,WALNUT_KERNELS_1,100,g,120,0,100,1,1,2,Dry Fruits & Nuts,2::4,Dry Fruits & Nuts::Dry Fruits,2:::4:::0,Dry Fruits & Nuts:::Dry Fruits:::,90200000,12,6,6,17029818721.jpg,17029818722.jpg,17029818723.jpg,17029818724.jpg,17029818726.jpg,17029818725.jpg,,,,,,,122,Admin,64,19-12-2023 05:31
,,,,A0063,WALNUT_KERNELS_2,200,g,150,0,100,1,1,,,,,,,,,,,,,,,,,,,,,,,123,,,
,,,,A0063,WALNUT_KERNELS_3,500,g,259,0,100,1,1,,,,,,,,,,,,,,,,,,,,,,,124,,,
A0062,WALNUT KERNELS BROKEN,1,1,A0062,WALNUT_KERNELS_BROKEN_1,200,g,100,0,100,1,1,2,Dry Fruits & Nuts,2::4,Dry Fruits & Nuts::Dry Fruits,2:::4:::0,Dry Fruits & Nuts:::Dry Fruits:::,90200000,12,6,6,17029819101.jpg,17029819102.jpg,17029819103.jpg,17029819104.jpg,17029819105.jpg,17029819106.jpg,,,,,,,120,Admin,63,19-12-2023 05:27
,,,,A0062,WALNUT_KERNELS_BROKEN_2,500,g,150,0,200,1,1,,,,,,,,,,,,,,,,,,,,,,,121,,,
A0061,PITTED PRUNES,1,1,A0061,PITTED_PRUNES_1,200,g,100,0,97,1,1,2,Dry Fruits & Nuts,2::4,Dry Fruits & Nuts::Dry Fruits,2:::4:::0,Dry Fruits & Nuts:::Dry Fruits:::,90200000,12,6,6,17029815021.jpg,17029815022.jpg,17029815023.jpg,17029815024.jpg,17029815025.jpg,17029815026.jpg,,,,,,,118,Admin,62,19-12-2023 05:25
,,,,A0061,PITTED_PRUNES_2,500,g,250,0,99,1,1,,,,,,,,,,,,,,,,,,,,,,,119,,,
