,,,,,,,,,,,,,,,,,,,,,,,,,Delivery Type,,,,,,,,,,,,,,,,,,,,,,
Item Code,Product Name,Product Status,Product In Stock Status,Variants for item code,SKU ID,Pack Size,Units,Price,Variants Stock,Conversion Factor (Kg),Variants Status,Variants In Stock Status,Category Id,category,Sub Category Id,Sub Category name,HSN Code,IGST,CGST,SGST,Ingredients,Shelf life Period,Shelf life Period Type,Storage Condition,International Delivery,National Delivery,Excluding Local & Hyperlocal (Within Maharashtra),Hyperlocal Delivery,Local Delivery,Pick-up from store,Food Habitats,Quick Description,Tags,Image1,Image2,Image3,Image4,Description for Item code,Description header name,Description Details,Description Status,Discription Id,Variants Updated By,Variants Id,Product Updated by,Product Id,Add date
,,,,A0864,0864_500,500,g,460,20,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,,
,,,,A0864,0864_1000,1,Kg,920,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,,
A0861,Turkish Delight (Figs),1,1,A0861,0861_480,480,g,1056,20,0.48,1,1,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,"Pharma Grade Sugar, Deshi Ghee, Corn Flour, Cashewnuts, Spices & Condiments",14,days,"Room Temperature, Lightly Air-Ventilated, Away from excessive heat & direct sunlight.",1,1,1,1,1,1,,24 Pc.s/Kg,,,,,,,,,,,,373,krishna,151,12/10/2022 18:06
,,,,A0861,0861_800,800,g,1760,20,0.8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,,,
,,,,A0861,0861_1200,1.2,Kg,2640,10,1.2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,,,
A0859,Karachi Halwa,1,1,A0859,0859_250,250,g,180,20,0.25,1,1,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,"Pharma Grade Sugar, Deshi Ghee, Corn Flour, Cashewnuts, Spices & Condiments",14,days,"Room Temperature, Lightly Air-Ventilated, Away from excessive heat & direct sunlight.",1,1,1,1,1,1,,24 Pc.s/Kg,,Orange-Karachi-Halwa.jpg,,,,,,,,,,370,krishna,150,12/10/2022 18:06
,,,,A0859,0859_500,500,g,360,20,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,,,
,,,,A0859,0859_1000,1,Kg,720,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,,,
A0857,Sp. Keshar Dryfruit Ghari,1,1,A0857,0857_360,360,g,792,20,0.36,1,1,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,,14,days,"Room Temperature, Lightly Air-Ventilated, Away from excessive heat & direct sunlight.",0,1,1,1,1,1,,33 Pc.s/Kg,,Sp. Keshar Dryfruit Ghari.jpg,,,,,,,,,,367,krishna,149,12/10/2022 18:06
,,,,A0857,0857_600,600,g,1320,20,0.6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,,,
