Pincode_Id,Pincode,City,"Werehouse Code","Updated By",Date,Status
1407,441001,nagpur,midc,,"2024-02-04 05:28:26",1
1430,441104,nagpur,midc,,"2024-02-04 05:28:26",1
1444,441106,nagpur,midc,,"2024-02-04 05:28:26",1
1457,441108,nagpur,midc,,"2024-02-04 05:28:26",1
1471,441110,nagpur,midc,,"2024-02-04 05:28:26",1
1479,441111,nagpur,midc,,"2024-02-04 05:28:26",1
1487,441122,nagpur,midc,,"2024-02-04 05:28:26",1
1497,441125,nagpur,midc,,"2024-02-04 05:28:26",1
1511,441216,nagpur,midc,,"2024-02-04 05:28:26",1
1528,441401,nagpur,midc,,"2024-02-04 05:28:26",1
1532,441402,nagpur,midc,,"2024-02-04 05:28:26",1
1543,441501,nagpur,midc,,"2024-02-04 05:28:26",1
1553,441503,nagpur,midc,,"2024-02-04 05:28:26",1
1571,410401,pune,midc,,"2024-02-04 05:28:26",1
1593,410410,pune,midc,,"2024-02-04 05:28:26",1
1598,410501,pune,midc,,"2024-02-04 05:28:26",1
1605,410503,pune,midc,,"2024-02-04 05:28:26",1
1612,410504,pune,midc,,"2024-02-04 05:28:26",1
1620,410506,pune,midc,,"2024-02-04 05:28:26",1
1629,410507,pune,midc,,"2024-02-04 05:28:26",1
1650,410615,pune,midc,,"2024-02-04 05:28:26",1
1653,410707,pune,midc,,"2024-02-04 05:28:26",1
1657,411000,pune,midc,,"2024-02-04 05:28:26",1
1664,411001,pune,midc,,"2024-02-04 05:28:26",1
1672,411002,pune,midc,,"2024-02-04 05:28:26",1
1680,411003,pune,midc,,"2024-02-04 05:28:26",1
1688,411004,pune,midc,,"2024-02-04 05:28:26",1
1697,411005,pune,midc,,"2024-02-04 05:28:26",1
1704,411006,pune,midc,,"2024-02-04 05:28:26",1
1713,411007,pune,midc,,"2024-02-04 05:28:26",1
1722,411008,pune,midc,,"2024-02-04 05:28:26",1
1730,411009,pune,midc,,"2024-02-04 05:28:26",1
1747,411011,pune,midc,,"2024-02-04 05:28:26",1
1755,411012,pune,midc,,"2024-02-04 05:28:26",1
1764,411013,pune,midc,,"2024-02-04 05:28:26",1
1773,411014,pune,midc,,"2024-02-04 05:28:26",1
1782,411015,pune,midc,,"2024-02-04 05:28:26",1
1791,411016,pune,midc,,"2024-02-04 05:28:26",1
1799,411017,pune,midc,,"2024-02-04 05:28:26",1
1807,411018,pune,midc,,"2024-02-04 05:28:26",1
1815,411019,pune,midc,,"2024-02-04 05:28:26",1
1823,411020,pune,midc,,"2024-02-04 05:28:26",1
1831,411021,pune,midc,,"2024-02-04 05:28:26",1
1839,411022,pune,midc,,"2024-02-04 05:28:26",1
1848,411023,pune,midc,,"2024-02-04 05:28:26",1
1856,411024,pune,midc,,"2024-02-04 05:28:26",1
1863,411025,pune,midc,,"2024-02-04 05:28:26",1
1870,411026,pune,midc,,"2024-02-04 05:28:26",1
1878,411027,pune,midc,,"2024-02-04 05:28:26",1
1887,411028,pune,midc,,"2024-02-04 05:28:26",1
1896,411029,pune,midc,,"2024-02-04 05:28:26",1
1905,411030,pune,midc,,"2024-02-04 05:28:26",1
1913,411031,pune,midc,,"2024-02-04 05:28:26",1
1921,411032,pune,midc,,"2024-02-04 05:28:26",1
